rule_id,title,path,origin,status,level,references_sysmon,static_scope_eligible,exclusion_reasons,sha256
94528740-76e2-5bfd-e3d5-a6fc1aea5bcd,Use of OpenConsole,sigma/builtin/process_creation/proc_creation_win_lolbin_openconsole.yml,sigma,test,medium,False,False,,24b44c3dc671e40ac3b2b784661099c9be4fc92739f9b23785cc9402630c3412
2c25a504-0f86-ca3f-43e0-5a40240a81fd,OpenWith.exe Executes Specified Binary,sigma/builtin/process_creation/proc_creation_win_lolbin_openwith.yml,sigma,test,high,False,False,,da855c541168d84592ea7cf196ae1b1d6c045cb6974d30f8ef5878cc5602f323
850febcc-7dad-d3e9-05e3-1c69b3ba2db3,Use of Pcalua For Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_pcalua.yml,sigma,test,medium,False,False,,466377488a25c04d73c24172ddb47411293f5f076537709f0495c603b63ef88c
f4b28578-b356-1cbb-4554-acd9a8b62c9b,Indirect Command Execution By Program Compatibility Wizard,sigma/builtin/process_creation/proc_creation_win_lolbin_pcwrun.yml,sigma,test,low,False,False,,6cc54c055ca2e25e6c6f738dc7d556f9f72eb8466a8fd9fd79a9499731168f21
c94695cb-a047-b9fd-ad81-7c51224d6fd0,Execute Pcwrun.EXE To Leverage Follina,sigma/builtin/process_creation/proc_creation_win_lolbin_pcwrun_follina.yml,sigma,test,high,False,False,,f1bf212cc62773fc0bc731c7f97d25d607b98e1a194ddffb8cc2ef6b1a4f8615
ced3b93a-d1cc-dab7-fe8c-be95fd649ff3,Code Execution via Pcwutl.dll,sigma/builtin/process_creation/proc_creation_win_lolbin_pcwutl.yml,sigma,test,medium,False,False,,ca69988e6fb32c9ae6975d098711031b24482ef7f632b7116f53323b44c91aa1
389f8439-d42b-53a1-cb96-9387255a319f,Execute Code with Pester.bat as Parent,sigma/builtin/process_creation/proc_creation_win_lolbin_pester.yml,sigma,test,medium,False,False,,a52d536311a7ebf124607f884186115e15493e96a9463e48cd886836ba4ca122
f9558484-5f9f-17f3-06a0-774afccc35e1,Execute Code with Pester.bat,sigma/builtin/process_creation/proc_creation_win_lolbin_pester_1.yml,sigma,test,medium,False,False,,d436114ebb1caad4753c9cfafbdb755017c9355077e214c40df5083fab173752
e5dce32e-6986-6417-4a01-aea6093f1e87,PrintBrm ZIP Creation of Extraction,sigma/builtin/process_creation/proc_creation_win_lolbin_printbrm.yml,sigma,test,high,False,False,,c0273ac54b88afabad61b1768647690faf0c86dca3db3ce7a981a453b5a63fea
b176b53d-4619-d65f-baf1-b3a4f1ec0b12,Pubprn.vbs Proxy Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_pubprn.yml,sigma,test,medium,False,False,,ddb08d6f5688b1a4364b331d0cdc8e9a7fe89d866c1c5acc4514e07ded4fd49f
16277ba9-49fc-5f62-bf22-e5c2952e32ea,DLL Execution via Rasautou.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_rasautou_dll_execution.yml,sigma,test,medium,False,False,,63a9610b8bf7de76389eeb7f7e78bb030646390d66b3210a01189ac06246a9b8
7a6b455d-a8d7-2cba-6d4e-05d8c6c9278c,REGISTER_APP.VBS Proxy Execution,sigma/builtin/process_creation/proc_creation_win_lolbin_register_app.yml,sigma,test,medium,False,False,,fa7a33bf593701c91587fe2c0bc5062e68419378f284ade65c7503652ff67627
b68cfad0-0e22-e824-aed8-8c1c3d1accdc,Use of Remote.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_remote.yml,sigma,test,medium,False,False,,522737fd91bebbb5cc45d6f4abd29af6665496b7e0209af6dca035cfc1067f97
02224309-c907-6de7-60e0-09470aa6d721,Replace.exe Usage,sigma/builtin/process_creation/proc_creation_win_lolbin_replace.yml,sigma,test,medium,False,False,,01887cfd76555997ef395017fb42ecf49151a85eaf3c91fffaf4bdde1253146f
b77adf00-db71-5767-769e-2ba7c942d820,Lolbin Runexehelper Use As Proxy,sigma/builtin/process_creation/proc_creation_win_lolbin_runexehelper.yml,sigma,test,medium,False,False,,68afb5dded4cec7c20940213e21aa1c9ca242abc72c6b1ab01fbcabe21a33afe
f93df83e-4e70-cffa-f5d8-2b7c77d7bb45,Suspicious Runscripthelper.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_runscripthelper.yml,sigma,test,medium,False,False,,4633897b0b105a50bb4579d29537f1bdc8231a2d993f1e44ba8aae50f5fef099
33de75b5-e77d-234d-db45-228cb5921cdd,Use of Scriptrunner.exe,sigma/builtin/process_creation/proc_creation_win_lolbin_scriptrunner.yml,sigma,test,medium,False,False,,748d7c551a17ee17dac81cd493fdfb9ed8c7c35d0cb2d4a1b24e7d567f7f5613
